species,tribe,body_PC1,body_PC2,LPJ_PC1,LPJ_PC2,UOJ_PC1,UOJ_PC2,d13C,d15N
Altcal,lampr,-0.0135716333613037,-0.0341870459644487,-0.122502797150536,-0.00298405872102495,0.0360522339456186,-0.0074761708003968,-19.0251607,6.0243768574
Altcom,lampr,-0.029809255308482,-0.0364889596200741,-0.160839784313416,0.00275722083738368,0.0385327896945626,-0.0169211287809677,-18.923983018,6.2418943648
Altfas,lampr,0.0326316749096606,-0.00727314060991962,-0.0424889662328938,0.0722363259457271,0.0158902899988618,-0.00331440624022388,-17.422817139,6.9002044273
Altshe,lampr,-0.0167096418001131,-0.0469914836273479,-0.0389292696654594,0.0336188665282838,0.0315941686847456,-0.0172525138500917,-21.98995965,6.2295946522
Asplep,ectod,0.0545151011829908,0.0581210669967815,-0.00106118421003696,-0.0217923491345448,-0.0227434833083437,0.0157616885470054,-11.878089309,5.0317660493
Auldew,ectod,-0.0136624090628069,-0.0518568651322077,-0.0707328278027451,-0.015013093600459,0.00641858511966082,-0.0165418574743523,-20.65928126,6.4618133279
Baicen,limno,0.0506879381392468,0.00071457778001593,-0.0597650527823033,0.0335345208601269,0.0321384307238072,0.00528206091446255,-20.013447743,8.2598496081
Batfas,bathy,0.0584525895773267,0.0122358483674288,-0.175517636896376,0.0608717480739003,-0.0154278001851589,-0.0111199534073814,-20.609271074,7.6374328089
Batfer,bathy,0.0338833217670381,-0.00885269962249983,-0.172292914483515,0.0500715408185126,-0.00644218106770492,-0.0137219170794606,-20.660474139,7.2532573365
Batgra,bathy,0.0138813237570638,-0.032061171906311,-0.181191042046654,0.0319805208988292,-0.00346109643749524,-0.0174952547634026,-19.748877857,8.6971870107
Bathor,bathy,0.0341285728775648,-0.00389073610603369,-0.146850509032896,0.0815694963592205,-0.0112706496709505,-0.0149519553447933,-19.25700704,8.868197954
Batleo,bathy,0.0400841430319347,-0.01469415959409,-0.193524310610132,0.0569135134947209,-0.00483862504905719,-0.0139878411411701,-20.898033986,8.3800898782
Batmin,bathy,0.0283917017000202,-0.0586409784883134,-0.171415124489489,0.0207467927912884,-4.9788918362565e-05,-0.021941264212992,-19.882724674,7.4910212632
Batvit,bathy,0.0345481138794942,-0.00916198402438454,-0.198755636103016,0.0692355863023553,-0.00598444607268213,-0.0222261069006524,-20.085564493,8.7202119675
BenhoM,benth,0.0538744062447451,-0.00972686192780642,-0.102864166042825,-0.00250673335150138,0.0223068690609481,0.0191455439380129,-21.559194205,6.8859251868
Benhor,benth,0.0458831678042215,-0.0201292331826302,-0.118489503002773,-0.0217105652198414,0.0215196413660347,0.0200491454246092,-20.721574281,6.7368355582
Benmel,benth,0.047829992254605,-0.0225395824451294,-0.112759145799777,-0.0224608299738354,0.0243304728961173,0.0175677918228763,-21.30843054,5.7381319814
Bentri,benth,0.0445847947587146,-0.0241954372573442,-0.120864253871094,-0.0241905878597733,0.0260705922645582,0.016351901000677,-22.109533942,6.1352916032
Boumic,boule,0.0118664017069981,-0.00431259712904776,-0.091454784657846,0.052196910118219,0.0010858499874241,-0.00422708795149805,-20.331270122,7.3965491622
Calmac,ectod,-0.0328750944049162,-0.0182773849493254,-0.0159803731687027,-0.0227726089737302,0.00131202842368551,0.00927201295962166,-16.678749375,6.9763010632
Calmel,ectod,-0.0201075010937796,-0.00999912336612968,-0.0375360291267327,-0.0139427495844085,0.00157716278356497,0.00907068068150408,-18.205513251,8.8899148997
Calple,ectod,0.0031836468826091,-0.0102993788690668,-0.00348243587220085,0.0213840941381159,0.00240130178802901,0.00548432336965129,-16.53889526,8.5750194667
Carsch,ectod,0.00887338054929455,-0.00695054422902972,0.00241516367149885,-0.17530056943634,-0.00841405393459666,0.00609732151606797,-15.672282994,6.916287206
Chabif,lampr,0.0331585246193287,0.0438517264020297,0.144374960059121,0.0605106942130708,-0.00759505217830516,0.0172266370000145,-15.922728437,6.6050458276
Chabri,lampr,0.0103434870488247,0.0386467601719784,0.154339679706306,0.0328366053902783,-0.00841394390703955,0.0166071844714324,-13.628324077,6.563156864
Chacya,lampr,0.028571627795675,0.0446195358015234,0.115854295098388,0.013733956765856,-0.00743864444534264,0.0137135977905723,-20.273886582,5.921893425
